Institution,Besuche insgesamt,zahlende Besucherinnen und Besucher,nicht zahlende Besucherinnen und Besucher,Besucherinnen,Besucher,Kinder und Jugendliche,Besuche außerhalb Berlins bei Gastspielen oder Wanderaus- stellungen,Kategorie,Jahr
Deutsches Theater / Kammerspiele,165405,155871,9534,99409,65996,-,26809,Große Sprechbühnen,2011
Volksbühne,135284,126158,9126,74406,60878,-,23563,Große Sprechbühnen,2011
Maxim Gorki Theater,92056,86214,5842,53642,38414,-,-,Große Sprechbühnen,2011
Berliner Ensemble,188406,179204,9202,94203,94203,-,25895,Große Sprechbühnen,2011
"Hebbel am Ufer (HAU 1, 2, 3)",89692,73433,16259,45692,44000,-,-,Große Sprechbühnen,2011
Schaubühne am Lehniner Platz,106382,100825,5557,53191,53191,-,63039,Große Sprechbühnen,2011
Renaissance Theater – Neue Theater Betriebs-GmbH,85421,78336,7085,51253,34168,-,-,Große Sprechbühnen,2011
Theater an der Parkaue,92602,86232,6370,46802,45800,-,6663,Kinder- und Jugendtheater,2011
Grips Theater,76301,71844,4457,38151,38150,-,9658,Kinder- und Jugendtheater,2011
Theater Strahl,23367,21749,1618,10515,12852,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Canstanza Macras / Dorkypark GmbH,6021,5408,613,3011,3010,-,12200,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Nico and the Navigators,3504,2660,844,1752,1752,-,4159,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Rimini Protokoll (Rinini Apparat GbR),5408,4605,803,2924,2484,-,6800,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Theater im Palais - Theaterverein am Festungsgraben,12399,11513,886,7439,4960,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Sophiensæle,16588,14606,1982,9123,7465,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Theaterdiscounter,2638,2110,528,1477,1161,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Theater '89,4626,4452,174,2545,2081,-,4063,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Vaganten Bühne Gemeinnützige,14033,13287,746,7017,7016,-,1449,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Neuköllner Oper,26289,23621,2668,15793,10496,-,200,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Kleines Theater am Südwestkorso GmbH,8010,7490,520,4410,3600,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Ballhaus Naunynstraße (KulturSPRÜNGE e.V.),25000,17495,7505,12500,12500,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Friedrichstadt-Palast,451767,446982,4785,284613,167154,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Sasha Waltz & Guests,22393,20814,1579,13436,8957,-,41425,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Jüdisches Theater,-,-,-,-,-,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2011
Bühnen am Kürfürstendamm,-,-,-,-,-,-,-,Boulevardtheater,2011
Schlosspark Theater,-,-,-,-,-,-,-,Boulevardtheater,2011
Deutsche Oper Berlin,251921,240266,11655,138557,113364,-,-,Stiftung Oper in Berlin,2011
Staatsoper Unter den Linden,182381,169418,12963,100310,82071,-,38347,Stiftung Oper in Berlin,2011
Komische Oper Berlin,157321,148462,8859,94393,62928,-,-,Stiftung Oper in Berlin,2011
Staatsballett,109196,101579,7617,76874,32322,-,15596,Stiftung Oper in Berlin,2011
Stiftung Berliner Philharmoniker,283238,271527,11711,144455,138783,-,-,Orchester & Chöre,2011
Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt,138995,126795,12200,80617,58378,-,17000,Orchester & Chöre,2011
Rundfunk-Orchester und -Chöre GmbH,131967,118789,13178,72582,59385,-,165836,Orchester & Chöre,2011
Literarisches Colloquium Berlin (LCB),8140,-,-,5342,2728,70,2500,Literatur,2011
Literaturhaus Berlin,6872,-,-,3565,3091,216,780,Literatur,2011
Literaturforum im Brecht-Haus (Gesellschaft für Sinn und Form e.V.),6862,-,-,4117,2745,-,40,Literatur,2011
literaturWERKstatt berlin (Literaturbrücke Berlin e.V.),21120,-,-,11600,9120,400,1543,Literatur,2011
LesArt - Berliner Zentrum für Kinder- und Jugendliteratur,8915,-,-,1960,905,6050,530,Literatur,2011
ConSense - Ges. zur Förderung von Kultur mbH (Kulturbrauerei),80142,42740,37402,38468,41674,-,-,Kulturzentren / Kino,2011
RambaZamba e.V.,4334,3595,739,2557,1777,-,5000,Kulturzentren / Kino,2011
ufa-fabrik e.V.,27370,18068,9302,16422,10948,-,-,Kulturzentren / Kino,2011
Neue Babylon Berlin GmbH,144239,95223,49016,75004,69235,-,-,Kulturzentren / Kino,2011
Stiftung Berlinische Galerie,129870,84932,44938,71429,58442,-,-,Berliner Landesmuseen,2011
Stiftung Bröhan-Museum,46851,15779,31072,30631,16220,-,-,Berliner Landesmuseen,2011
Brücke Museum,34585,27732,6853,20751,13834,3579,-,Berliner Landesmuseen,2011
Stiftung Deutsches Technikmuseum Berlin,630736,497729,133007,227923,402813,-,-,Berliner Landesmuseen,2011
Bauhaus-Archiv,103278,84877,18401,53188,50090,-,-,Berliner Landesmuseen,2011
Stiftung Stadtmuseum Berlin,210099,116964,93135,111352,98747,-,-,Berliner Landesmuseen,2011
Stiftung Domäne Dahlem,82040,17979,64061,49563,32477,-,-,Berliner Landesmuseen,2011
"Jugend im
Museum e.V.",9627,-,-,4910,4717,9000,-,Berliner Landesmuseen,2011
Schwules Museum,17084,12600,4484,6800,10284,-,-,Berliner Landesmuseen,2011
"Werkbundarchiv -
Museum der Dinge",9800,7548,2252,5485,4315,-,-,Berliner Landesmuseen,2011
Stiftung Georg-Kolbe-Museum,16046,10420,5626,9858,6188,1065,-,Berliner Landesmuseen,2011
Altes Museum mit Antikensammlung - Museumsinsel,330000,122400,207600,202633,127367,13500,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Alte Nationalgalerie -
Museumsinsel",305000,192200,112800,-,-,9737,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Bodemuseum mit Skulpturensammlung,
Museum für Byzantinische Kunst
und Münzkabinett - Museumsinsel",390000,357100,32900,-,-,6554,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Neues Museum mit Ägyptisches Museum, Museum für Vor- und
Frühgeschichte - Musuemsinsel ",903000,672300,230700,504777,398223,58575,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Pergamonmuseum mit Antikensammlung, Museum für Islamische Kunst, Vorderasiatischem Museum, Münzkabinett - Musuemsinsel",1305.000,903000,402000,704700,600300,64389,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Friedrichswerdersche Kirche - Museumsinsel,173000,-,173000,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Hamburger Bahnhof - Tiergarten,280000,211000,69000,-,-,11750,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Neue Nationalgalerie - Kulturforum,220000,160200,59800,-,-,8019,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Gemäldegalerie - Kulturforum (Zentralkasse)
mit Kunstbibliothek und Kupferstichkabinett",277000,197500,79500,156782,120218,9946,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Kunstgewerbemuseum - Kulturforum,43000,13500,29500,-,-,192,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Kunstgewerbemuseum - Schloss Köpenick,20000,15900,4100,-,-,1033,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Ethnologisches Museum - Museen Dahlem (Zentralkasse)
mit Museum Europäischer Kulturen und Museum für Asiatische Kunst",108000,63800,44200,61344,46656,11297,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Museum für Fotografie -
Charlottenburg",111000,90200,20800,-,-,5298,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Museum Berggruen -
Charlottenburg",64000,51500,12500,-,-,3496,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Sammlung Scharf-Gerstenberg -
Charlottenburg",43000,35700,7300,-,-,1719,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Musikinstrumenten-Museum,60000,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Staatsbibliothek,1029.944,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
Humboldt-Box,200000,-,-,-,-,-,-,Staatliche Museen zu Berlin / Stiftung Preußischer Kulturbesitz,2011
"Schloss Charlottenburg
(Neuer Pavillon;
Belvedere; Mausoleum)",433656,-,-,251520,182136,-,-,Preußische Schlösser & Gärten,2011
Pfaueninsel,138054,-,-,-,-,-,-,Preußische Schlösser & Gärten,2011
"Park Glienicke
(Schloss; Casino)",8597,-,-,-,-,-,-,Preußische Schlösser & Gärten,2011
"Jagdschloss Grunewald
(Schloss; Jagd-zeugmagazin)",19298,-,-,-,-,-,-,Preußische Schlösser & Gärten,2011
"Schloss
Schönhausen",24436,-,-,-,-,-,-,Preußische Schlösser & Gärten,2011
Stiftung Berliner Mauer,650000,Freier Eintritt,,-,-,-,-,Gedenkstätten,2011
Trägerverein Haus der Wannseekonferenz,106177,,,54126,52051,-,-,Gedenkstätten,2011
Stiftung Gedenkstätte Berlin-Hohenschönhausen,331580,,,165790,165790,-,-,Gedenkstätten,2011
"Gedenkstätte Deutscher
Widerstand",221000,,,-,-,-,-,Gedenkstätten,2011
Stiftung Topographie des Terrors,800000,,,400000,400000,-,-,Gedenkstätten,2011
Dokumentationszentrum NS-Zwangsarbeit Berlin-Schöneweide,8002,,,3763,4239,-,-,Gedenkstätten,2011
Kunst-Werke Berlin - Institute for Contemporary Art,39636,18207,21429,21436,18260,-,-,Bildende Kunst,2011
Künstlerhaus Bethanien (KHB),21998,Freier Eintritt,,10868,11130,-,-,Bildende Kunst,2011
Haus am Waldsee e.V.,12769,9380,3389,7110,5659,-,-,Bildende Kunst,2011
Stiftung Zentral- und Landesbibliothek Berlin,1220.543,Kein Eintritt - Nutzerentgelt,,-,-,-,-,Archive/Bibliotheken,2011
Landesarchiv Berlin,9055,Kein Eintritt - Nutzerentgelt,,-,-,-,-,Archive/Bibliotheken,2011
